#TYPE=EXOPLANET
#OBSCODE=HRAH
#SECONDARY_OBSCODES=MOBS
#SOFTWARE=EXOTIC v4.2.3
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=WASP-3
#EXOPLANET_NAME=WASP-3 b
#BINNING=1x1
#EXPOSURE_TIME=60.0
#COMP_STAR-XC=null
#NOTES=First image seeing 100 (0: poor, 100: excellent), Teltemp - Camtemp 26.0.  These observations were conducted with MicroObservatory, a robotic telescope network managed by the Harvard-Smithsonian Center for Astrophysics on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=V
#FILTER-XC={"name": "V", "desc": "Johnson V", "fwhm": [{"value": "502.8", "units": "nm"}, {"value": "586.8", "units": "nm"}]}
#PRIORS=Period=1.8468351 +/- 7e-08,Rp/R*=0.11505 +/- 0.00097,a/R*=5.0 +/- 0.69,inc=84.15 +/- 0.16,ecc=0.0058,u0=1.955 +/- 0.018,u1=-3.459 +/- 0.074,u2=4.022 +/- 0.096,u3=-1.518 +/- 0.041
#PRIORS-XC={"Period": {"value": "1.8468351", "uncertainty": "7e-08", "units": "days"}, "Rp/R*": {"value": "0.11505", "uncertainty": "0.00097"}, "a/R*": {"value": "5.0", "uncertainty": "0.69"}, "inc": {"value": "84.15", "uncertainty": "0.16", "units": "degrees"}, "ecc": {"value": "0.0058", "uncertainty": null}, "u0": {"value": "1.955", "uncertainty": "0.018"}, "u1": {"value": "-3.459", "uncertainty": "0.074"}, "u2": {"value": "4.022", "uncertainty": "0.096"}, "u3": {"value": "-1.518", "uncertainty": "0.041"}}
#RESULTS=Tc=2457691.6178 +/- 0.0023,Rp/R*=0.136 +/- 0.042,inc=88.22 +/- 2.89,Am1=14.82 +/- 25.6,Am2=-0.85 +/- 0.29
#RESULTS-XC={"Tc": {"value": "2457691.6178", "uncertainty": "0.0023", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.136", "uncertainty": "0.042"}, "inc": {"value": "88.22", "uncertainty": "2.89"}, "Am1": {"value": "14.82", "uncertainty": "25.6"}, "Am2": {"value": "-0.85", "uncertainty": "0.29"}, "Duration": {"value": "0.13", "uncertainty": "0.0077", "units": "days"}}
#EPW_MD5-XC={"epw_checkout_md5": "4886c4209b088338e02f4cbc38896181"}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2457691.55493032,13.6511729,2.3210508,1.0973216,5.8403931
2457691.55895942,6.7609588,2.3245866,1.1078732,5.7883494
2457691.5630223,2.6058731,2.3283942,1.1192178,5.7329119
2457691.56415743,4.4627456,2.3294989,1.122506,5.7169431
2457691.56529247,1.0675131,2.3306269,1.1258616,5.7006924
2457691.56642739,2.7871819,2.3317716,1.1292653,5.6842564
2457691.56756229,2.0308064,2.3329402,1.1327383,5.6675345
2457691.56869755,0.5699605,2.3341259,1.1362605,5.6506258
2457691.56983233,0.7761061,2.3353362,1.139854,5.633427
2457691.57096803,1.679887,2.3365642,1.1434979,5.6160401
2457691.57210296,2.1283908,2.3378176,1.1472151,5.5983589
2457691.57323862,2.7293186,2.3390891,1.1509842,5.5804881
2457691.57437365,1.9735775,2.3403828,1.1548169,5.5623736
2457691.57550918,1.2875624,2.3416991,1.1587143,5.5440138
2457691.577177,0.7904834,2.3436755,1.1645624,5.5165788
2457691.5813451,1.0837134,2.3488537,1.1798609,5.4454488
2457691.58342946,1.2568512,2.3515568,1.1878334,5.4087451
2457691.58551307,0.0239302,2.3543461,1.1960504,5.3711745
2457691.58759687,2.1030255,2.3572241,1.204519,5.3327271
2457691.58967956,0.6123887,2.3601889,1.2132318,5.2934579
2457691.59384599,0.1852551,2.3663991,1.2314468,5.2122935
2457691.59592928,0.5181027,2.3696505,1.2409643,5.1703803
2457691.59801292,0.9252136,2.3730055,1.2507716,5.1275438
2457691.60009656,0.0471081,2.376462,1.2608609,5.0838458
2457691.60217985,0.5427054,2.380029,1.2712576,5.0392058
2457691.60426346,0.2829396,2.3837045,1.2819539,4.9936887
2457691.60634681,0.9932369,2.3874982,1.2929771,4.9472106
2457691.60842968,3.3313308,2.3914079,1.3043191,4.8998397
2457691.61051235,3.281662,2.3954444,1.3160094,4.8514887
2457691.61259541,5.3376662,2.3996054,1.3280399,4.8022292
2457691.61467844,6.2546918,2.4039026,1.3404421,4.7519707
2457691.61676204,6.9220681,2.4083339,1.353208,4.7007881
2457691.6188449,9.05407,2.4129117,1.3663716,4.6485879
2457691.62092817,8.9625703,2.4176341,1.3799248,4.5954485
2457691.62301118,1.511622,2.4225066,1.3938808,4.5413644
2457691.62509453,0.7240839,2.4275348,1.4082536,4.4863303
2457691.62717762,0.1038775,2.4327338,1.4230831,4.4302465
2457691.63134443,0.5255617,2.4436546,1.454131,4.3150866
2457691.63342743,0.8782849,2.4493913,1.4703847,4.2559985
2457691.63759287,0.7653767,2.4614573,1.5044474,4.1347799
2457691.64175867,0.310136,2.4743579,1.5406823,4.0096184
2457691.64384166,0.9303788,2.4811505,1.5596852,3.9455009
2457691.64800821,0.5468675,2.4954746,1.5995881,3.8141825
2457691.65009101,0.9703285,2.5030299,1.6205431,3.7469805
2457691.6521737,0.602028,2.5108062,1.6420448,3.6792557
2457691.65633947,1.4658757,2.5273426,1.6875482,3.5399409
2457691.65842287,1.7683505,2.5360806,1.7114726,3.4688219
2457691.66050549,1.93342,2.5451535,1.7362269,3.3967393
2457691.66258841,2.9095438,2.5545792,1.7618503,3.3237036
2457691.66467158,1.9611941,2.5643766,1.7883842,3.2497271
2457691.66675372,0.5230393,2.5745662,1.8158731,3.1748242
2457691.66883669,0.4431435,2.58517,1.8443642,3.0990118
2457691.67091943,5.8541165,2.5962119,1.8739083,3.0223089
2457691.67300251,2.2806897,2.6077174,1.9045595,2.9447378
2457691.6750851,0.3673018,2.6197142,1.9363757,2.8663233
2457691.67716918,0.3866303,2.6322321,1.9694192,2.7870938
2457691.67925171,0.5454882,2.6453037,2.0037567,2.707081
2457691.68133557,1.9937336,2.6589398,2.0393969,2.6264614
2457691.68341867,3.2683633,2.673226,2.0765408,2.5449942
2457691.69384465,1.2857571,2.7555628,2.2868202,2.1292052
2457691.69592756,0.078619,2.7745599,2.3344443,2.0449008
2457691.69801048,2.3341204,2.7945281,2.3841526,1.9604653
2457691.70217644,5.9990084,2.8378381,2.4907576,1.790955
2457691.70425991,1.8537519,2.8612816,2.547786,1.7063763
2457691.70634282,0.7466907,2.8860923,2.6076332,1.6219088
2457691.71050806,0.6875792,2.9402524,2.736508,1.4539434
2457691.71467355,9.2997412,3.0013706,2.8791189,1.2882734
2457691.71675719,0.5547971,3.0349721,2.9562913,1.2066376
2457691.71883983,7.0095289,3.0708266,3.0377014,1.1261195
2457691.72092268,1.9175977,3.1091606,3.1236966,1.0468945
2457691.72300487,0.4947631,3.1503096,3.2148349,0.9690062
2457691.72717031,1.1874941,3.2421698,3.4140674,0.8183273
2457691.72925401,0.2014831,3.2936277,3.5232201,0.7459573
2457691.73133511,0.0864558,3.3490105,3.6388093,0.6762848
2457691.73550868,0.546552,3.475703,3.8961975,0.5436319
2457691.73759009,1.4970111,3.5478677,4.0386448,0.4817545
2457691.73967131,1.0,3.627071,4.1916883,0.4230998
2457691.7417523,0.1822295,3.7136717,4.3552471,0.3682866
2457691.74383301,1.1398535,3.8102376,4.5331882,0.3166872
2457691.74592539,0.2986348,3.9183272,4.7270918,0.2686546
2457691.74800675,0.4299965,4.0386136,4.9366843,0.2248941
2457691.75008728,0.4127104,4.174012,5.1652669,0.1852532
2457691.75216844,1.8023933,4.3265119,5.4140053,0.1500126
